time,A,B,P12,P23
7.383,498.65,481.725,562.325,507.425
7.4,500.15,483.225,563.825,507.425
7.417,501.65,484.725,565.325,507.425
7.433,503.15,486.225,566.825,508.225
7.45,504.65,487.725,568.325,509.725
7.467,506.15,489.225,569.825,511.225
7.483,507.65,490.725,571.325,512.725
7.5,509.15,492.225,572.825,514.225
7.517,510.65,493.725,574.325,515.725
7.533,512.15,495.225,575.825,517.225
7.55,513.65,496.725,577.325,518.725
7.567,515.15,498.225,578.825,520.225
7.583,516.65,499.725,580.325,521.725
7.6,517.375,501.225,581.825,523.225
7.617,517.375,502.725,583.325,524.725
7.633,517.375,504.225,584.825,526.225
7.65,517.375,505.725,586.325,527.725
7.667,518.65,507.225,587.025,529.225
7.683,520.15,508.725,587.025,530.725
7.7,521.65,510.225,587.025,532.225
7.717,523.15,511.725,587.025,533.725
7.733,524.65,513.225,587.025,535.225
7.75,526.15,514.725,588.475,536.725
7.767,527.65,516.225,589.975,537.275
7.783,529.15,517.725,591.475,537.275
7.8,530.65,519.225,592.975,537.275
7.817,532.15,520.725,594.475,537.275
7.833,533.65,522.225,595.975,537.275
7.85,535.15,523.725,597.475,537.275
7.867,536.65,525.225,598.975,537.275
7.883,538.15,526.725,600.475,537.275
7.9,539.65,527.325,601.975,537.275
7.917,541.15,527.325,603.475,537.275
7.933,542.65,527.325,604.975,537.275
7.95,544.15,527.325,606.475,538.025
7.967,545.65,527.325,607.975,539.525
7.983,547.15,527.325,609.475,541.025
8.0,548.65,527.325,610.975,542.525
8.017,550.15,527.325,612.475,544.025
8.033,551.65,527.325,613.975,545.525
8.05,553.15,528.275,615.475,547.025
8.067,554.65,529.775,616.875,548.525
8.083,556.15,531.275,616.875,550.025
8.1,557.175,532.775,616.875,551.525
8.117,557.175,534.275,616.875,553.025
8.133,557.175,535.775,617.175,554.525
8.15,557.175,537.275,618.675,556.025
8.167,557.175,538.55,620.175,557.525
8.183,557.175,540.05,621.675,559.025
8.2,557.175,541.55,623.175,560.525
8.217,557.175,543.05,624.675,562.025
8.233,557.175,544.55,626.175,563.525
8.25,557.175,546.05,627.675,565.025
8.267,557.575,547.25,629.175,566.525
8.283,559.075,548.75,630.675,568.025
8.3,560.575,550.25,632.175,569.525
8.317,562.075,551.75,633.675,571.025
8.333,563.575,553.25,635.175,572.525
8.35,565.075,554.75,636.675,574.025
8.367,566.575,556.25,636.775,575.525
8.383,568.075,557.75,638.025,577.025
8.4,569.575,559.25,639.525,578.525
8.417,571.075,560.75,641.025,580.025
8.433,572.575,562.25,642.525,581.525
8.45,574.075,563.75,644.025,583.025
8.467,575.575,565.25,645.525,584.525
8.483,577.075,566.75,646.725,586.025
8.5,578.575,567.85,646.725,587.025
8.517,580.075,569.35,647.225,587.025
8.533,581.575,570.85,648.725,587.025
8.55,583.075,572.35,650.225,587.025
8.567,584.575,573.85,651.725,587.025
8.583,586.075,575.35,653.225,587.35
8.6,587.175,576.85,654.725,588.85
8.617,588.675,577.075,656.225,590.35
8.633,590.175,577.075,656.75,591.85
8.65,591.675,577.075,658.25,593.35
8.667,593.175,577.075,659.75,594.85
8.683,594.675,577.1,661.25,596.35
8.7,596.175,578.6,662.75,597.85
8.717,596.975,580.1,664.25,599.35
8.733,598.025,581.6,665.75,600.85
8.75,599.525,583.1,667.25,602.35
8.767,601.025,584.6,668.75,603.85
8.783,602.525,586.1,670.25,605.35
8.8,604.025,587.6,671.75,606.85
8.817,605.525,589.1,673.25,606.925
8.833,606.925,590.6,674.75,606.925
8.85,607.175,592.1,676.25,606.925
8.867,608.675,593.6,677.75,606.925
8.883,610.175,595.1,679.25,606.925
8.9,611.675,596.6,680.75,606.925
8.917,613.175,596.975,682.25,606.925
8.933,614.675,596.975,683.75,608.075
8.95,616.175,596.975,685.25,609.575
8.967,617.675,596.975,686.525,611.075
8.983,619.175,596.975,686.525,612.575
9.0,620.675,596.975,686.525,614.075
9.017,622.175,596.975,686.525,615.575
9.033,623.675,598.175,687.725,616.875
9.05,625.175,599.675,689.225,616.875
9.067,626.675,601.175,690.725,617.425
9.083,628.175,602.675,692.225,618.925
9.1,629.675,604.175,693.725,620.425
9.117,631.175,605.675,695.225,621.925
9.133,632.675,606.925,696.475,623.425
9.15,634.175,606.925,697.35,624.925
9.167,635.675,607.5,698.85,626.425
9.183,637.175,609.0,700.35,626.825
9.2,638.675,610.5,701.85,626.825
9.217,640.175,612.0,703.35,626.825
9.233,641.675,613.5,704.85,627.575
9.25,643.175,615.0,706.35,629.075
9.267,644.675,616.5,707.85,630.575
9.283,646.175,616.875,709.35,632.075
9.3,646.725,616.875,710.85,633.575
9.317,646.725,616.875,712.35,635.075
9.333,646.725,617.775,713.85,636.575
9.35,646.725,619.275,715.35,636.95
9.367,647.875,620.775,716.375,638.45
9.383,649.375,622.275,716.375,639.95
9.4,650.875,623.775,716.375,641.45
9.417,652.375,625.275,716.375,642.95
9.433,653.875,626.775,717.425,644.45
9.45,655.375,626.825,718.925,645.95
9.467,656.875,627.9,720.425,647.45
9.483,658.375,629.4,721.925,648.95
9.5,659.875,630.9,723.425,650.45
9.517,661.375,632.4,724.925,651.95
9.533,662.875,633.9,726.425,653.45
9.55,664.375,635.4,727.925,654.95
9.567,665.875,636.775,729.425,656.45
9.583,666.625,638.225,730.925,656.675
9.6,666.625,639.725,732.425,656.675
9.617,666.625,641.225,733.925,656.675
9.633,667.6,642.725,735.425,656.675
9.65,669.1,644.225,736.275,656.675
9.667,670.6,645.725,737.675,657.725
9.683,672.1,646.725,739.175,659.225
9.7,673.6,646.725,740.675,660.725
9.717,675.1,646.725,742.175,662.225
9.733,676.6,646.725,743.675,663.725
9.75,678.1,646.725,745.175,665.225
9.767,679.6,647.475,746.225,666.725
9.783,681.1,648.975,746.225,668.225
9.8,682.6,650.475,746.225,669.725
9.817,684.1,651.975,746.675,671.225
9.833,685.6,653.475,748.175,672.725
9.85,686.525,654.975,749.675,674.225
9.867,686.525,656.475,751.175,675.725
9.883,687.7,657.975,752.675,676.575
9.9,689.2,659.475,754.175,676.575
9.917,690.7,660.975,755.675,677.925
9.933,692.2,662.475,756.175,679.425
9.95,693.7,663.975,756.175,680.925
9.967,695.2,665.475,757.425,682.425
9.983,696.475,666.625,758.925,683.925
10.0,696.475,666.625,760.425,685.425
10.017,696.475,666.625,761.925,686.525
10.033,697.775,666.625,763.425,686.525
10.05,699.275,666.625,764.925,687.875
10.067,700.775,666.625,766.425,689.375
10.083,702.275,667.375,767.925,690.875
10.1,703.775,668.875,769.425,692.375
10.117,705.275,670.375,770.925,693.875
10.133,706.775,671.875,772.425,695.375
10.15,708.275,673.375,773.925,696.475
10.167,709.775,674.875,775.425,696.475
10.183,711.275,676.375,776.075,696.475
10.2,712.775,676.575,776.075,696.475
10.217,714.275,677.05,777.5,696.475
10.233,715.775,678.55,779.0,697.475
10.25,717.275,680.05,780.5,698.975
10.267,718.775,681.55,782.0,700.475
10.283,720.275,683.05,783.5,701.975
10.3,721.775,684.55,785.0,703.475
10.317,723.275,686.05,786.5,704.975
10.333,724.775,687.55,788.0,706.425
10.35,726.275,689.05,789.5,706.425
10.367,726.325,690.55,791.0,707.225
10.383,726.325,692.05,792.5,708.725
10.4,726.325,693.55,794.0,710.225
10.417,726.325,695.05,795.5,711.725
10.433,726.95,696.475,795.975,713.225
10.45,728.45,696.475,795.975,714.725
10.467,729.95,697.0,796.875,716.225
10.483,731.45,698.5,798.375,717.725
10.5,732.95,700.0,799.875,719.225
10.517,734.45,701.5,801.375,720.725
10.533,735.95,703.0,802.875,722.225
10.55,737.45,704.5,804.375,723.725
10.567,738.95,706.0,805.875,725.225
10.583,740.45,707.425,807.375,726.325
10.6,741.95,708.925,808.875,726.325
10.617,743.45,710.425,810.375,726.325
10.633,744.95,711.925,811.875,726.325
10.65,746.225,713.425,813.375,726.325
10.667,746.225,714.925,814.875,726.325
10.683,746.45,716.375,815.875,727.775
10.7,747.95,716.375,815.875,729.275
10.717,749.45,716.375,816.8,730.775
10.733,750.95,716.375,818.3,732.275
10.75,752.45,716.375,819.8,733.775
10.767,753.95,716.375,821.3,735.275
10.783,755.45,717.25,822.8,736.775
10.8,756.95,718.75,824.3,738.275
10.817,758.45,720.25,825.8,739.775
10.833,759.95,721.75,827.3,741.275
10.85,761.45,723.25,828.8,742.775
10.867,762.95,724.75,830.3,744.275
10.883,764.45,726.25,831.8,745.775
10.9,765.95,727.375,833.3,746.225
10.917,766.125,728.875,834.8,746.225
10.933,766.125,730.375,836.225,746.65
10.95,766.125,731.875,837.725,748.15
10.967,766.125,733.375,839.225,749.65
10.983,766.125,734.875,840.725,751.15
11.0,766.125,736.275,842.225,752.65
11.017,766.2,736.275,843.725,754.15
11.033,767.7,736.275,845.225,755.65
11.05,769.2,737.675,845.725,757.15
11.067,770.7,739.175,845.925,758.65
11.083,772.2,740.675,847.425,760.15
11.1,773.7,742.175,848.925,761.65
11.117,775.2,743.675,850.425,763.15
11.133,776.7,745.175,851.925,764.65
11.15,778.2,746.35,853.425,766.15
11.167,779.7,747.85,854.925,767.65
11.183,781.2,749.35,855.675,769.15
11.2,782.7,750.85,855.675,770.65
11.217,784.2,752.35,855.675,772.15
11.233,785.7,753.85,855.675,773.65
11.25,787.2,755.35,855.675,775.15
11.267,788.7,756.825,855.675,776.075
11.283,790.2,758.325,855.85,776.65
11.3,791.7,759.825,857.35,778.15
11.317,793.2,761.325,858.85,779.65
11.333,794.7,762.825,860.35,781.15
11.35,795.975,764.325,861.85,782.65
11.367,795.975,765.825,863.35,784.15
11.383,795.975,766.5,864.85,785.65
11.4,795.975,768.0,865.625,786.025
11.417,795.975,769.5,866.5,786.025
11.433,795.975,771.0,868.0,786.725
11.45,795.975,772.5,869.5,788.225
11.467,795.975,774.0,871.0,789.725
11.483,795.975,775.5,872.5,791.225
11.5,796.8,776.075,874.0,792.725
11.517,798.3,776.075,875.5,794.225
11.533,799.8,777.175,875.575,795.725
11.55,801.3,778.675,875.575,797.225
11.567,802.8,780.175,875.575,798.725
11.583,804.3,781.675,875.575,800.225
11.6,805.8,783.175,875.575,801.725
